time,pr,scenario,region,pr_day
2086-12-31 00:00:00,3.8182665e-05,ssp126,South America,3.2989821
2087-12-31 00:00:00,3.9150043e-05,ssp126,South America,3.3825638
2088-12-31 00:00:00,4.0300325e-05,ssp126,South America,3.4819481
2089-12-31 00:00:00,3.861759e-05,ssp126,South America,3.3365598
2090-12-31 00:00:00,3.7821057e-05,ssp126,South America,3.2677393
2091-12-31 00:00:00,3.8748967e-05,ssp126,South America,3.347911
2092-12-31 00:00:00,3.9576895e-05,ssp126,South America,3.4194436
2093-12-31 00:00:00,3.846109e-05,ssp126,South America,3.323038
2094-12-31 00:00:00,4.0435894e-05,ssp126,South America,3.4936612
2095-12-31 00:00:00,3.868108e-05,ssp126,South America,3.3420453
2096-12-31 00:00:00,3.7887494e-05,ssp126,South America,3.2734795
2097-12-31 00:00:00,3.904779e-05,ssp126,South America,3.3737292
2098-12-31 00:00:00,3.9059254e-05,ssp126,South America,3.3747196
2099-12-31 00:00:00,3.7373848e-05,ssp126,South America,3.2291005
2100-12-31 00:00:00,3.7976457e-05,ssp126,South America,3.2811658
2015-12-31 00:00:00,2.4073963e-05,ssp126,Europe,2.0799904
2016-12-31 00:00:00,2.5182651e-05,ssp126,Europe,2.175781
2017-12-31 00:00:00,2.4734076e-05,ssp126,Europe,2.1370242
2018-12-31 00:00:00,2.3931634e-05,ssp126,Europe,2.0676932
2019-12-31 00:00:00,2.4352143e-05,ssp126,Europe,2.1040251
2020-12-31 00:00:00,2.5690159e-05,ssp126,Europe,2.2196298
2021-12-31 00:00:00,2.5231106e-05,ssp126,Europe,2.1799676
2022-12-31 00:00:00,2.4047118e-05,ssp126,Europe,2.077671
2023-12-31 00:00:00,2.4147317e-05,ssp126,Europe,2.0863283
2024-12-31 00:00:00,2.4289897e-05,ssp126,Europe,2.098647
2025-12-31 00:00:00,2.5459576e-05,ssp126,Europe,2.1997073
2026-12-31 00:00:00,2.3990451e-05,ssp126,Europe,2.072775
2027-12-31 00:00:00,2.3834404e-05,ssp126,Europe,2.0592926
2028-12-31 00:00:00,2.579233e-05,ssp126,Europe,2.2284572
2029-12-31 00:00:00,2.4951667e-05,ssp126,Europe,2.155824
2030-12-31 00:00:00,2.5462292e-05,ssp126,Europe,2.199942
2031-12-31 00:00:00,2.4958723e-05,ssp126,Europe,2.1564336
2032-12-31 00:00:00,2.4848683e-05,ssp126,Europe,2.1469262
2033-12-31 00:00:00,2.4935713e-05,ssp126,Europe,2.1544456
2034-12-31 00:00:00,2.5185505e-05,ssp126,Europe,2.1760278
2035-12-31 00:00:00,2.4738878e-05,ssp126,Europe,2.137439
2036-12-31 00:00:00,2.4116804e-05,ssp126,Europe,2.0836918
2037-12-31 00:00:00,2.5667312e-05,ssp126,Europe,2.2176557
2038-12-31 00:00:00,2.4755573e-05,ssp126,Europe,2.1388814
2039-12-31 00:00:00,2.3944276e-05,ssp126,Europe,2.0687854
2040-12-31 00:00:00,2.434064e-05,ssp126,Europe,2.1030312
2041-12-31 00:00:00,2.4472329e-05,ssp126,Europe,2.1144092
2042-12-31 00:00:00,2.3711553e-05,ssp126,Europe,2.0486782
2043-12-31 00:00:00,2.4569996e-05,ssp126,Europe,2.1228476
2044-12-31 00:00:00,2.4613757e-05,ssp126,Europe,2.1266286
2045-12-31 00:00:00,2.4687177e-05,ssp126,Europe,2.132972
2046-12-31 00:00:00,2.406577e-05,ssp126,Europe,2.0792825
2047-12-31 00:00:00,2.4498015e-05,ssp126,Europe,2.1166284
2048-12-31 00:00:00,2.4462704e-05,ssp126,Europe,2.1135776
2049-12-31 00:00:00,2.4390083e-05,ssp126,Europe,2.1073031
2050-12-31 00:00:00,2.482543e-05,ssp126,Europe,2.144917
2051-12-31 00:00:00,2.4874164e-05,ssp126,Europe,2.1491277
2052-12-31 00:00:00,2.4637451e-05,ssp126,Europe,2.1286757
2053-12-31 00:00:00,2.5266218e-05,ssp126,Europe,2.1830013
2054-12-31 00:00:00,2.5352796e-05,ssp126,Europe,2.1904817
2055-12-31 00:00:00,2.4447703e-05,ssp126,Europe,2.1122816
2056-12-31 00:00:00,2.4935653e-05,ssp126,Europe,2.1544404
2057-12-31 00:00:00,2.484342e-05,ssp126,Europe,2.1464715
2058-12-31 00:00:00,2.4830835e-05,ssp126,Europe,2.145384
2059-12-31 00:00:00,2.4508576e-05,ssp126,Europe,2.1175408
2060-12-31 00:00:00,2.503684e-05,ssp126,Europe,2.163183
2061-12-31 00:00:00,2.4862196e-05,ssp126,Europe,2.1480937
2062-12-31 00:00:00,2.4005407e-05,ssp126,Europe,2.074067
2063-12-31 00:00:00,2.438907e-05,ssp126,Europe,2.1072156
2064-12-31 00:00:00,2.5200758e-05,ssp126,Europe,2.1773455
2065-12-31 00:00:00,2.4043868e-05,ssp126,Europe,2.0773902
2066-12-31 00:00:00,2.5653277e-05,ssp126,Europe,2.216443
2067-12-31 00:00:00,2.4415973e-05,ssp126,Europe,2.10954
2068-12-31 00:00:00,2.5596344e-05,ssp126,Europe,2.2115242
2069-12-31 00:00:00,2.5232244e-05,ssp126,Europe,2.1800659
2070-12-31 00:00:00,2.4278032e-05,ssp126,Europe,2.097622
2071-12-31 00:00:00,2.3484235e-05,ssp126,Europe,2.029038
2072-12-31 00:00:00,2.4116496e-05,ssp126,Europe,2.0836654
2073-12-31 00:00:00,2.4277142e-05,ssp126,Europe,2.0975451
2074-12-31 00:00:00,2.4096971e-05,ssp126,Europe,2.0819783
2075-12-31 00:00:00,2.4544863e-05,ssp126,Europe,2.120676
2076-12-31 00:00:00,2.4233743e-05,ssp126,Europe,2.0937953
2077-12-31 00:00:00,2.5038782e-05,ssp126,Europe,2.1633508
2078-12-31 00:00:00,2.580005e-05,ssp126,Europe,2.2291243
2079-12-31 00:00:00,2.4382436e-05,ssp126,Europe,2.1066425
2080-12-31 00:00:00,2.4679015e-05,ssp126,Europe,2.132267
2081-12-31 00:00:00,2.5028608e-05,ssp126,Europe,2.1624718
2082-12-31 00:00:00,2.5657131e-05,ssp126,Europe,2.2167761
2083-12-31 00:00:00,2.5477166e-05,ssp126,Europe,2.2012272
2084-12-31 00:00:00,2.421588e-05,ssp126,Europe,2.092252
2085-12-31 00:00:00,2.4538083e-05,ssp126,Europe,2.1200905
